2018-08-06 13:54:38.2897 ILogger INFO| Starting the user migration.  
2018-08-06 13:54:38.3178 ILogger INFO| Loading file : UserMigrationList.csv  
2018-08-06 13:57:02.1909 ILogger INFO| Starting the user migration.  
2018-08-06 13:57:02.2280 ILogger INFO| Loading file : UserMigrationList.csv  
2018-08-06 13:58:54.0151 ILogger INFO| Starting the user migration.  
2018-08-06 13:58:54.0457 ILogger INFO| Loading file : UserMigrationList.csv  
2018-08-06 14:00:57.2404 ILogger INFO| Starting the user migration.  
2018-08-06 14:00:57.2680 ILogger INFO| Loading file : UserMigrationList.csv  
2018-08-06 14:04:49.1382 ILogger INFO| Starting the user migration.  
2018-08-06 14:04:49.1663 ILogger INFO| Loading file : UserMigrationList.csv  
